"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"000012.SZ",1.75,1.5,1.5,1.7,1.75,1.7857,1.6875,1.6875,1.7778,1.7059,1.7222,1.7222,1.8235,1.8235,1.6364,1.9,2,2.1818,2.2308,2.2667,2.25,2.2941,2.2857,2.1053,2,1.9444,2,1.7368,1.6875,1.5882,1.6,1.6667,1.6667,1.7333,1.6875,1.7059,1.6522,1.5455,1.5238,1.5455,1.55,1.5789,1.6111,1.6429,1.5882,1.5294,1.6667,1.6667,1.6111,1.6111,1.7692,1.6,1.6,1.6,1.6,1.5714,1.7143,1.6154,1.7,1.7,1.6667,1.5,1.4545,1.3636,1.4167,1.4615,1.5,1.5,1.55,1.6,1.5263,1.5263,1.5556,1.5625,1.3636,1.4167,1.5,1.5,1.5,1.5714,1.6364,1.6,1.5556,1.5556,1.5556,1.5,1.5,1.375,1.4286,1.4286,1.2857,1.4286,1.25,1.1667,1.1667,1.1667,1.2,1.2,1.2,1,1.2857,1.2857,1.2857,1.4,1.375,1.375,1.2857,1.2857,1.2857,1.2857,1.2857,1.2857,1.5,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333
"000014.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"000016.SZ",3,2,2,2,2.6667,2.5,2.5,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.3333,2.3333,2.1667,2.1429,2.1111,2.1111,2.1818,2.2,2.3,2.3333,2.2727,2.2727,2.2,2,1.8333,1.8571,1.8333,1.8333,2,2,2.4,2.4,2.4,2.4,2.4,2.4,3,3,3,3,3,3,3,3,2.6667,2.6667,2.6667,2.6667,2.5,2.5,2.5,2.5,2.6667,2.5,2.5,2.5,2.3333,2.3333,2.5,2.5,2.6667,2.6667,2.6667,2.6667,2.6667,3,3,3,3,3,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000017.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000018.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1.2857,1.2857,1.25,1.2222,1.3333,1.375,1.375,1.4286,1.5,1.4286,1.4286,1.4286,1.4286,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333
"000019.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000020.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA
"000021.SZ",2.25,2.25,2.1667,2,2.5,2.5,3,3,3,3,3,3,3,3,3,3,2.6667,2,2.125,2,2,2,2,1.9,1.7143,1.4,1.25,1,1.2,1.4,1.1667,1.2857,1.375,1.3333,1.5,1.5,1.6364,1.6364,1.625,1.8,2.1667,2.1667,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.5,1.5,1.5,1.6667,1.5,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1.2,1.3333,1.3333,1.6667,1.6667,1.3333,1,1,1.5,1.5,1.5,1.5,1.5,1.5
"000022.SZ",2,2.1667,1.875,1.875,2.5,2.5,2.5714,2.5714,2.5714,2.5,2.4286,2.4286,2.5,2.5714,2.8182,2.8182,3,3,2.9091,2.8,2.5,2.4,2.1818,2.25,2.1667,2.25,2.25,2,2,1.8571,1.8571,1.8571,1.8889,1.9444,2,2.0588,2,2.0588,2.0833,2,1.9375,1.9412,2.0588,2.0625,2.3333,2.3636,2.4444,2.5,2.5556,2.5556,3,2.7143,2.7143,2.7143,2.6667,2.6667,2.625,2.625,2.5,2.5,2.5,2.5,3.1667,3.4,3.5,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2
"000023.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
