"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"000425.SZ",3,3,3,NA,NA,2,2,1.4545,1.5455,1.6923,1.7059,1.6471,1.6667,1.5789,1.6923,1.9286,1.9286,1.9286,1.75,1.75,1.5385,1.4615,1.381,1.35,1.3333,1.3333,1.381,1.4,1.4211,1.4211,1.4211,1.3636,1.5833,1.5455,1.5385,1.5294,1.5294,1.5294,1.5,1.5238,1.5238,1.5263,1.5556,1.5,1.5556,1.3636,1.4,1.4,1.4545,1.4545,1.6667,1.5714,1.7778,1.875,1.875,1.8571,2.1,2.2222,2.2222,2.125,2.125,2,1.6667,1.8889,1.8889,1.7143,1.7143,1.7143,1.8333,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,2,NA,NA,1,1,1,1,1,1,1.25,1.25,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1,1,1,1,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.5,2,2,2,1.625,1.4286,1.4,1.4,1.4,1.4706,1.4118,1.375,1.375,1.3529,1.3529,1.3529
"000426.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1.3333,1.3333,2,1.5,1.3333,1.3333,1.3333,1.3333,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,2,1.6667,1.6667,1.5,1.5,1.5,1.5,1.6667,1.6667,1.6667,2,1.6667,1.6667,2,2,2,2,2,2,1.6667,1.6667,1.6667,1.6667,2,2,2,2,2,2,2,2,2,2,2,1.6667,1.6667,1.3333,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1.25,1.3333,1.5,1.4286,1.4286
"000428.SZ",NA,1.5,1.5,1.625,1.625,1.6667,1.7,1.7273,1.9091,2,2.1111,2,2.1111,2.1429,2,2.2857,2.125,2.2222,2.2222,2.2222,2.3636,2.2,2.6667,2.5714,2.1429,2.1429,2.1429,1.7143,1.7143,1.75,1.6667,1.6667,1.6667,1.6667,1.7,1.7,1.6364,1.6154,1.5556,1.6,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,2,2,2,3,2.5,2.5,2.3333,2.3333,2.3333,2.3333,2.5,2.5,1.6667,1.5,1.5,1.6,1.6,1.6,1.25,1.3333,1.3333,1.5,NA,2,2,2,2,2,2.5,2.5,2.5,2.5,3,3,NA,NA,2,2,2,2,2,2,2,NA,1,1,1,1.5,1.5,1.5,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"000429.SZ",2.2857,2.2857,2.6,2.8,2.8,2.8,2.625,2.625,2.5556,2.6,2.5,2.3333,2.3333,2.3333,2.75,2.75,2.75,3,3,3,3,2.8,2.8,2.8,2.6,2.6,2,2.5,2.6667,2.6667,2.6667,2.6667,2.5,2.5,2.3333,2,2,2,3,3,3,3,2.8,2.8,2.8,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,1,1,1,1,1.5,1.25,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1,1.2,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,1.5,1.3333
"000430.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,3,3,3,3,3,3,3,2,2,2,1.6,1.6667,1.6667,1.7143,1.625,1.5714,1.5,1.4545,1.5,1.5455,1.4286,1.4667,1.3333,1.4375,1.4706,1.4706,1.5294,1.6,1.6522,1.7273,1.7143,1.7143,1.6667,1.6316,1.6,1.5294,1.5294,1.4706,1.5294,1.5294,1.5556,1.5,1.5,1.5,1.5,1.5,1.5,1.5714,1.6154,1.6154,1.6154,1.6429,1.6667,1.4545,1.6667,1.6667,1.6667,1.6667,1.7,1.8462,1.75,1.7778,1.7778,1.7778,1.7,1.7143,1.7143,1.625,1.625,1.625,1.6667,1.6,1.6,1.6,1.6,1.6667,1.7391,1.8333,1.8889,1.7895,1.7895,1.7895,1.7895,1.7895,1.8333,1.8,1.8667,1.875,1.9,1.9474,1.9412,1.9412,1.9412,1.9375
"000488.SZ",1.6667,1.5714,1.5,1.5556,1.65,1.6,1.5652,1.5909,1.5455,1.6818,2.0909,2.0909,2.0952,2.0952,2.0952,2.2,2.0588,2.0625,1.8333,1.8333,1.95,1.95,1.9474,1.9474,1.8889,1.8889,1.8333,1.7333,1.8333,1.8333,1.9091,2.0909,1.8571,1.8571,1.8462,1.8462,1.8462,1.7692,1.5556,1.5,1.5385,1.5385,1.5385,1.5,1.5,1.5556,1.6667,1.8333,2,2,2.1667,2.2222,2.2222,2.2857,2.2857,2.2857,2.375,2.375,2.4,2.4,2.4,2.4,2.4,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6667,1.5,1.6667,1.6667,1.6667,1.5,1.6,1.6,1.4286,1.375,1.25,1.2222,1.125,1.125,1.1,1.0909,1.0909,1.1667,1.1667,1.1538,1.1538,1.1667,1.1667,1.2667,1.2353,1.2353,1.3333,1.3333,1.2857,1.2667,1.3077,1.3077,1.2727,1.2727,1.3333,1.3077,1.4706,1.5,1.4737,1.4737,1.4737,1.45
"000498.SZ",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1.5,1.5,1.5,1.3333,1.2,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.4,1.3,1.1538,1.2143,1.2143,1.2,1.2,1.25
"000501.SZ",1.8333,1.8571,1.8333,1.6667,1.75,1.75,1.7692,1.7857,1.7857,1.8462,1.6154,1.6923,1.9167,1.9167,1.9167,1.9091,1.5833,1.5833,1.5833,1.5833,1.6471,1.6111,1.6667,1.7647,1.7647,1.7647,1.8421,1.85,1.875,1.875,1.7778,1.7895,1.5714,1.45,1.45,1.4211,1.4211,1.4211,1.4286,1.3333,1.1667,1.1667,1.2308,1.2143,1.2941,1.3333,1.4118,1.375,1.3333,1.3333,1.2308,1.25,1.1,1.2,1.2,1.2,1.5263,1.5263,1.5556,1.5556,1.6,1.6,1.5714,1.5714,1.7143,1.6429,1.6154,1.6154,1.6875,1.6875,1.4286,1.4,1.4211,1.45,1.3889,1.3889,1.3125,1.3125,1.1818,1.1818,1.3846,1.3571,1.3846,1.3846,1.4286,1.4286,1.4167,1.5,1.5,1.5,1.4545,1.5,1.2222,1.2222,1.1429,1.1429,1.1429,1.1429,1,1,1.375,1.375,1.375,1.375,1.3077,1.3077,1.2308,1.2143,1.2143,1.2143,1.2143,1.1667,1.2308,1.25,1.25,1.25,1.2667,1.2667,1.2857,1.2857,1.2857,1.3077
"000502.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000503.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,NA,NA,1.5,1.3333,1.25,1.25,1.25,1.4,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,NA,NA,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,1.5,1.6667
"000504.SZ",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"000505.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.75,NA,2,2,2,2,2,1.5,1.5,1.5
"000506.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1.6667,1.6667,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000507.SZ",1,1,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,3,3,3,3,3,2,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.2,1.1667,1.2857,1.2857,1.25,1.25,1.25,1.25,1.4286,1.3333,1.3333,1.4,1.2,1.2,1.2,1.2,1.4,1.3333,1.3333,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.75,NA,NA,NA,NA
"000509.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000510.SZ",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"000511.SZ",2,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000513.SZ",2,2,2.1667,2.1667,2.1667,2.1667,2.2,2.2,2,2,2.1429,2.1429,2,2,2.1667,2.1667,2.2,2,2,2,1.8889,1.8889,1.8,1.7778,1.75,1.6,1.5556,1.6,1.5,1.5,1.5,1.75,1.8,1.8,1.8571,1.8571,1.8571,1.8571,2,1.8889,1.8889,1.8889,1.8889,1.8889,1.875,1.875,1.875,1.875,2,2,2,2,2,2,2,2,2,2,2,1.7778,1.8,1.8,1.7,1.7857,1.8571,1.9167,1.9091,1.9091,1.8571,1.8333,1.7778,1.7778,1.7778,1.7,1.5,1.5714,1.4,1.3333,1.3333,1.3333,1.5,1.4286,1.4286,1.4286,1.4286,1.5714,1.5714,1.625,1.5556,1.6,1.625,1.625,1.625,1.5,1.6,1.6667,1.6,1.6,1.4286,1.375,1.3333,1.2222,1.2222,1.3636,1.3077,1.3077,1.2143,1.3333,1.2778,1.2778,1.2667,1.3043,1.3333,1.3,1.3,1.3182,1.32,1.3158,1.2917,1.3333,1.36,1.32
"000514.SZ",NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1.3333,1.3333,1.3333,1.5,1.5,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000516.SZ",2,2,NA,2.5,2.5,2.3333,2.3333,2.3333,2.3333,2.3333,2.4,2.4,2.4,2.3333,2.2857,2.25,2.375,2.375,2.4286,2.4286,2.4286,2.4286,2.5,2.3333,2.3333,2.6,2.5,2.4,2,2,2,2,2.1429,2.2857,2.3333,2.3333,2.3333,2.3333,2.4,2.6667,2.3333,2.3333,2.5,2,2,2,1.6667,1.5714,1.4286,1.4286,1.4286,1.375,1.5,1.7,1.875,1.8,1.8,1.8,1.6667,1.5,1.5,1.75,1.75,1.8,1.8333,1.8333,1.8333,1.7143,1.6667,1.6667,1.625,1.625,1.5556,1.5,1.625,1.4,1.4545,1.5,1.5,1.5385,1.6,1.6429,1.6,1.5556,1.4545,1.5,1.5,1.5455,1.5455,1.5455,1.5,1.5,1.5714,1.8,1.75,1.75,1.5,1.4,1.4,1,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,NA,2,2,2,2,2,2,NA,NA,NA
"000517.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,2,2,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000518.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000519.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1.5,1.5,1,1,1,1,1,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.3333,1.3333,1.3333,1.3333,1.25,1.4,1.3333,1.3333,1.25,1.25,1.25,1.25,1.3333,1.3333,1.6667,1.6667,1.6667,1.6667
"000520.SZ",2.5,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667
"000521.SZ",NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3.25,3.25,2.8,2.8333,2.8333,2.6667,2.6667,2.6667,2.8333,2.8333,2.8333,2.4,2.3333,2.1429,2.1429,2.1429,2.1429,2.3636,2.3,2.1,2.0833,2.0833,2,1.9091,2.125,2.125,2.1667,2.1667,2.1667,2.2,2,2,2,2.5,2.5,3,3,3,3,2.5,2.25,2.25,2.25,2.1667,2.1667,2.1667,2,1.6667,1.8,1.7143,1.7778,1.7778,1.7778,1.9091,1.8,1.7,1.7273,1.7273,1.6667,1.6923,1.5625,1.5556,1.5294,1.5556,1.5556,1.6667,1.6667,1.8571,1.8571,1.8571,1.8571,1.8,1.75,1.75,1.75,1.75,1.75,1.8571,1.8571,1.75,1.75,1.8,1.8,1.8,2,2,2,2,2.1667,1.875,1.7778,1.7273,1.7273,1.7273,1.6667,1.5,1.5455,1.6364,1.6364,1.6364,1.6364,1.6667,1.6667,1.8,1.8,1.7143,1.7143
"000523.SZ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1.5,1.5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,NA,1,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,NA
"000524.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1.6667,1.6667,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2,2,2,2,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1.6667,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.6,1.6,1.8,1.8,2,1.8571,1.8571,1.8571,1.8571,1.8571,1.8571,1.8889,1.8571,1.8571,1.7778,1.7778,1.7778,1.75,1.75,1.7143,1.7143,1.7143,1.7778,1.7778,1.6,1.6,1.6,1.6
"000525.SZ",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,2.8333,2.8571,2.8571,2.8571,2.8,2.8,2.5,2.3333,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1.5,1.3333,1.5,1.5,1.5,1.5,1.6667,1.6667,1.6,1.7143,1.625,1.5556,1.6,1.5833,1.6154,1.4545,1.4286,1.5333,1.5294,1.5,1.5,1.4667,1.3125,1.25,1.3125,1.3125,1.4,1.4286,1.4,1.4,1.375,1.375,1.5,1.5,2,2,2,3,3,3,3,3,3,3,NA,NA,3,3,3,3,2.3333,2.3333,1,1,1.5,1.5,1.5,1,1,1,1,1,1.2,1.2,1.2,1.2,1.3333,1.3333
"000526.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1.5,1.5,1.5,1.3333,1.3333,1.6667,1.6667,1.6667,1.25,1.3333,1.3333,1.3333,1.3333,1.3333,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2
"000528.SZ",1.5556,1.5556,1.6842,1.7895,1.7,1.6667,1.6923,1.6667,1.8182,1.8261,2.12,2.2593,2.28,2.3333,2.5263,2.44,2.3889,2.3,2.1053,2,1.8571,1.6667,1.8,1.7778,1.7778,1.8421,1.8125,1.7368,1.6875,1.6667,1.6667,1.7857,1.6316,1.6471,1.7222,1.6842,1.6087,1.6087,1.5263,1.5833,1.6667,1.6667,1.6667,1.619,1.619,1.7857,1.9231,1.9231,1.9231,1.9231,2,1.9167,1.9091,1.8,1.8,1.9091,2.3571,2.5,2.4286,2.4286,2.3571,2.2143,2.2727,2.2727,2.1818,1.5,1.5,1.5,1.5,1.5,1.6,1.75,1.8,1.8,1.8,1.8,2,2,2,2,2.6,2.6,3,3,2.75,2.6667,2.6667,1.8,1.8,1.6667,1.6667,1.6667,1.4,1.4,1.5,1.5,1.5,2.5,2.5,2.6667,2.6667,2.6667,2.6667,2.6667,2.5,2.5,2.6667,2.4,2.4,2.1429,1.8,1.75,1.6154,1.5833,1.5833,1.5294,1.5294,1.5294,1.5,1.5,1.5,1.5833
"000529.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1.5,1.3333,1.5,1.5,1.3333,1.3333,1.3333,1.2,1.25,1.4,1.25,1.4,1.4,1.4,1.4,1.4
"000530.SZ",2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.6,1.5,1.5,1,1,1,1,2,2,2,2,2,2,2,2,2.2,2.2,2.3333,2.3333,2.3333,2.3333,3,3,3,3,3,3,3,3,NA,1.6667,1.6667,1.6667,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.5,1.2,1.3333,1.25,1.4,1.4,1.4,1.6,1.4,1.5,1.3333,1.3333,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.2222,1.2222,1.25,1.25,1.2,1,1.1667,1.1667,1.3333,1.3333,1.4,1.4,1.25,1.4,1.5556,1.4,1.3636,1.3333,1.3636,1.4167,1.4167,1.4167
"000531.SZ",1.3333,1.3333,1.3333,1.3333,1.6667,2,2,2,3,3,3,3.5,2.6667,2.6667,2,2,1.25,1.25,1.3333,1.3333,1.5714,1.5,1.4444,1.3333,1.3333,1.3333,1.3333,1.4444,1.5,1.5,1.5,1.5,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,3,3,3,3,3,3,NA,3,3,2.5,2,1.8,1.5,1.5714,1.5714,1.5,1.5,1.5,1.75,2,2,NA,NA,NA,NA,NA,2,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
