"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131","d20180209"
"601002.SH",5.9376,5.9376,5.9376,5.9376,2.0483,2.0483,2.0483,2.0483,4.3619,4.3619,6.6845,6.6845,6.6845,6.6845,6.6845,6.6845,6.0279,6.0279,6.0279,6.0279,0.964,0.964,-1.3821,-1.3821,-1.3821,-1.3821,-1.3821,-0.0959,0.3378,0.3378,0.3378,0.3378,8.3452,8.3452,12.1691,12.1691,12.1691,12.1691,12.1691,13.0122,14.9126,14.9126,14.9126,14.9126,12.5084,12.5084,8.1355,8.1355,8.1355,8.1355,8.1355,4.0535,-2.0568,-2.0568,-2.0568,-2.0568,-6.7562,-6.7562,-6.3863,-6.3863,-6.3863,-6.3863,-6.3863,-6.3863,0.5528,0.5528,0.5528,0.5528,3.5241,3.5241,4.2599,4.2599,4.2599,4.2599,4.2599,4.2599,6.4467,6.4467,6.4467,6.4467,7.9392,7.9392,7.3605,7.3605,7.3605,7.3605,7.3605,7.3605,3.5942,3.5942,3.5942,3.5942,0.9675,0.9675,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.168,-0.168,-0.168,-0.168,1.2569,1.2569,1.7855,1.7855,1.7855,1.7855,1.7855,1.7855,4.0646,4.0646,4.0646,4.0646,5.4908,5.4908,6.5698,6.5698,6.5698,6.5698,6.5698
"601003.SH",16.0732,16.0732,16.0732,16.0732,16.7071,16.7071,16.7071,16.7071,16.2291,16.2291,9.8085,9.8085,9.8085,9.8085,9.8085,9.8085,-13.3638,-13.3638,-13.3638,-13.3638,-15.8444,-15.8444,-2.434,-2.434,-2.434,-2.434,-2.434,-2.434,16.4141,16.4141,16.4141,16.4141,21.2787,21.2787,12.7764,12.7764,12.7764,12.7764,12.7764,12.7764,12.7105,12.7105,12.7105,12.7105,8.7318,8.7318,8.5165,8.5165,8.5165,8.5165,8.5165,8.5165,5.1258,5.1258,5.1258,5.1258,2.5867,2.5867,-1.8689,-1.8689,-1.8689,-1.8689,-1.8689,-1.8689,3.5555,3.5555,3.5555,3.5555,0.6946,0.6946,5.5149,5.5149,5.5149,5.5149,5.5149,5.5149,4.4048,4.4048,4.4048,4.4048,8.6204,8.6204,7.3827,7.3827,7.3827,7.3827,7.3827,7.3827,-5.5324,-5.5324,-5.5324,-5.5324,-13.0658,-13.0658,-21.9889,-21.9889,-21.9889,-21.9889,-21.9889,-21.9889,-18.5641,-18.5641,-18.5641,-18.5641,-10.6031,-10.6031,-1.7632,-1.7632,-1.7632,-1.7632,-1.7632,-1.7632,7.9277,7.9277,7.9277,7.9277,10.2003,10.2003,22.8621,22.8621,22.8621,22.8621,22.8621
"601005.SH",10.6169,10.6169,10.6169,10.6169,9.4838,9.4838,9.4838,9.4838,12.101,12.101,14.3809,14.3809,14.3809,14.3809,14.3809,14.3809,7.6212,7.6212,7.6212,7.6212,2.6527,2.6527,-2.9487,-2.9487,-2.9487,-2.9487,-2.9487,-2.9487,1.6897,1.6897,1.6897,1.6897,0.944,0.944,0.9987,0.9987,0.9987,0.9987,0.9987,0.1802,-0.2775,-0.2775,-0.2775,-0.2775,0.4338,0.4338,0.4166,0.4166,0.4166,0.4166,0.4166,-36.0992,-42.6415,-42.6415,-42.6415,-42.6415,-62.2519,-62.2519,-91.5808,-91.5808,-91.5808,-91.5808,-91.5808,2.3674,-4.7527,-4.7527,-4.7527,-4.7527,-12.0708,-12.0708,-17.3651,-17.3651,-17.3651,-17.3651,-17.3651,-25.1986,-25.5962,-25.5962,-25.5962,-25.5962,-25.9464,-25.9464,-28.5713,-28.5713,-28.5713,-28.5713,-28.5713,0.5157,-4.1642,-4.1642,-4.1642,-4.1642,-15.8893,-15.8893,-23.1228,-23.1228,-23.1228,-23.1228,-23.1228,-150.0987,-150.0987,-205.2556,-205.2556,-205.2556,-252.3545,-252.3545,-446.1794,-446.1794,-446.1794,-446.1794,-446.1794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601006.SH",16.1315,16.1315,16.1315,16.1315,16.6912,16.6912,16.6912,16.6912,18.3933,18.3933,17.8856,17.8856,17.8856,17.8856,17.8856,17.8856,14.4848,14.4848,14.4848,14.4848,14.7588,14.7588,13.9141,13.9141,13.9141,13.9141,13.9141,15.2018,16.2756,16.2756,16.2756,16.2756,19.0785,19.0785,26.663,26.663,26.663,26.663,26.663,26.663,19.2966,19.2966,19.2966,19.2966,20.8524,20.8524,18.8377,18.8377,18.8377,18.8377,18.8377,18.8377,17.6595,17.6595,17.6595,17.6595,18.3515,18.3515,17.1014,17.1014,17.1014,17.1014,17.1014,17.1014,15.6191,15.6191,15.6191,15.6191,16.8159,16.8159,16.7227,16.7227,16.7227,16.7227,16.7227,16.7227,15.8911,15.8911,15.8911,15.8911,17.2053,17.2053,17.5733,17.5733,17.5733,17.5733,17.5733,17.5733,16.4246,16.4246,16.4246,16.4246,17.071,17.071,16.1739,16.1739,16.1739,16.1739,16.1739,16.1739,12.0508,12.0508,12.0508,12.0508,10.4372,10.4372,7.5419,7.5419,7.5419,7.5419,7.5419,7.5419,8.8924,8.8924,8.8924,8.8924,11.8553,11.8553,13.6123,13.6123,13.6123,13.6123,13.6123
"601007.SH",6.1714,6.1714,6.1714,6.6657,6.5754,6.5754,6.5754,6.5754,6.629,6.629,6.8184,6.8184,6.8184,6.8184,7.101,7.101,6.9027,6.9027,6.9027,6.6646,6.6646,6.6646,6.6646,6.3783,6.3783,6.3783,6.3783,8.5461,8.7432,8.7432,8.7432,8.7432,8.4172,8.4172,9.0872,9.0872,9.0872,9.0872,9.0872,10.1186,10.1557,10.1557,10.1557,10.1557,10.2963,10.2963,10.0088,10.0088,10.0088,10.0088,10.0088,9.7715,9.6312,9.6312,9.6312,9.3758,9.3758,9.3758,9.7157,9.7157,9.7157,9.7157,9.7157,8.4188,8.4188,7.868,7.868,7.868,8.0761,8.0761,7.0305,7.0305,7.0305,7.0305,7.0305,5.3616,5.3954,5.3954,5.3954,5.3954,5.3954,4.6563,3.6324,3.6324,3.6324,3.6324,3.6324,2.9253,2.6382,2.6382,2.6382,2.6382,2.8589,2.8589,2.8589,2.9824,2.9824,2.9824,2.9824,3.5604,3.5604,3.9066,3.9066,3.9066,3.7324,3.7324,4.6546,4.6546,4.6546,4.6546,4.6546,2.9752,2.9752,3.014,3.014,3.014,5.0531,5.0531,5.4831,5.4831,5.4831,5.4831,5.4831
"601008.SH",5.5024,5.5024,6.4587,6.4587,5.9211,5.9211,5.9211,5.9211,6.5937,6.5937,6.952,6.952,6.952,6.952,6.952,6.952,5.9117,5.9117,5.9117,5.9117,4.7535,4.7535,3.9615,3.9615,3.9615,3.9615,3.9615,3.9615,4.6607,4.6607,4.6607,4.6607,5.1615,5.1615,5.6194,5.6194,5.6194,5.6194,5.6194,6.1774,5.1263,5.1263,5.1263,5.1263,5.3702,5.3702,6.0756,6.0756,6.0756,6.0756,6.0756,5.5544,5.8388,5.8388,5.8388,5.8388,6.0431,6.0431,5.9927,5.9927,5.9927,5.9927,5.9927,5.9927,5.8609,5.9022,5.9022,5.9022,6.1077,6.1077,6.2189,6.2189,6.2189,6.2189,6.2189,6.2189,4.3492,4.3492,4.3492,4.3492,3.5772,3.5772,3.0895,3.0895,3.0895,3.0895,3.0895,3.0895,2.957,2.957,2.957,2.957,2.6376,2.6376,2.062,2.062,2.062,2.062,2.062,2.062,1.3806,1.3806,1.3806,1.3806,0.8424,0.8424,0.5074,0.5074,0.5074,0.5074,0.5074,0.5074,0.2201,0.2201,0.2201,0.2201,0.1948,0.1948,0.2009,0.2009,0.2009,0.2009,0.2009
"601009.SH",6.1077,6.1077,6.1077,9.1476,11.2012,11.2012,11.2012,11.2012,13.2355,13.2355,13.7248,13.7248,13.7248,13.7248,13.7248,13.7248,12.5113,12.5113,12.5113,12.5113,12.8459,12.8459,12.5145,12.5145,12.5145,12.5145,12.5145,12.8228,13.527,13.527,13.527,13.527,14.8186,14.8186,15.6476,15.6476,15.6476,15.6476,15.6476,15.6476,12.7916,12.7916,12.7916,12.7916,13.6816,13.6816,13.8394,13.8394,13.8394,13.8394,13.8394,13.8394,13.8394,15.2811,15.2811,15.2811,16.4577,16.4577,16.2165,16.2165,16.2165,16.2165,16.2165,16.2165,16.0806,16.0806,16.0806,16.0806,16.372,16.372,16.9275,16.9275,16.9275,16.9275,16.9275,16.9275,16.604,16.604,16.604,16.604,17.0012,17.0012,17.0825,17.0825,17.0825,17.0825,17.0825,17.0825,17.5635,17.5635,17.5635,14.3479,14.3479,14.3479,14.9634,14.9634,14.9634,14.9634,14.9634,14.9634,13.6205,13.6205,13.6205,13.6205,14.3244,14.3244,13.2695,13.2695,13.2695,13.2695,13.2695,13.2695,13.453,13.453,13.453,13.453,14.0361,14.0361,14.1312,14.1312,14.1312,14.1312,14.1312
"601010.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5317,34.5317,12.8378,12.8378,12.9554,12.9554,12.9554,12.9554,12.9554,13.1197,13.2837,13.2837,13.2837,13.2837,13.114,13.114,12.6296,12.6296,12.6296,12.6296,12.6296,11.5282,10.1827,10.1827,10.1827,10.1827,11.1138,11.1138,11.0579,11.0579,11.0579,11.0579,11.0579,11.0579,10.7315,10.7315,10.7315,10.7315,10.7315,11.4361,11.6243,11.6243,11.6243,11.6243,11.6243,11.2393,10.4642,10.4642,10.4642,10.4642,10.6703,10.6703,10.6703,9.9261,9.9261,9.9261,9.9261,9.9261,6.4923,4.7771,4.7771,4.7771,4.5034,4.5034,4.1277,4.1277,4.1277,4.1277,4.1277,4.1277,6.1094,6.8621,6.8621,6.8621,6.3952,6.3952,6.6177,6.6177,6.6177,6.6177,6.6177
"601011.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6868,7.0351,7.0351,7.0351,7.0351,6.7397,6.7397,6.9639,6.9639,6.9639,6.9639,6.9639,7.5018,7.1593,7.1593,7.1593,7.1593,7.7637,7.7637,5.1069,5.1069,5.1069,5.1069,5.1069,5.1069,2.594,0.1434,0.1434,0.1434,-0.8567,-0.8567,-2.4137,-2.4137,-2.4137,-2.4137,-2.4137,0.4139,2.5462,2.5462,2.5462,2.5462,1.4783,1.4783,3.8319,3.8319,3.8319,3.8319,3.8319,2.4321,0.6356,0.6356,0.6356,0.6356,2.8452,2.8452,2.5101,2.5101,2.5101,2.5101,2.5101,2.1464,2.1464,2.6582,2.6582,2.6582,0.4841,0.4841,0.5912,0.5912,0.5912,0.5912,0.5912,0.5912,2.1477,2.583,2.583,2.583,3.1765,3.1765,3.8102,3.8102,3.8102,3.8102,3.8102
"601012.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3474,5.4827,5.4827,5.4827,3.0639,3.0639,1.7938,1.7938,1.7938,1.7938,1.7938,1.7938,1.7938,-2.8878,-2.8878,-2.8878,-2.2203,-2.2203,-0.9443,-0.9443,-0.9443,-0.9443,-0.9443,-0.9443,4.4957,4.4957,4.4957,4.4957,4.4957,5.2981,6.9933,6.9933,6.9933,6.9933,9.1214,9.1214,9.685,9.685,9.685,9.685,5.7538,5.7538,6.5763,6.5763,6.5763,6.5763,6.5763,9.235,12.0658,12.0658,12.0658,12.0658,19.6631,19.6631,14.2827,14.2827,14.2827,14.2827,14.2827,15.3305,16.325,16.325,16.325,16.325,17.242,17.242,22.1121,22.1121,22.1121,22.1121,22.1121
