"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131","d20180209"
"002401.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7826275,0.4841475,0.337135,0.1327175,0.09164,0.1290875,0.232825,0.2433225,NA,0.28536,0.26015,0.16643,0.08498,0.0826975,NA,0.1102875,0.1277825,0.14981,0.193865,0.3197325,0.44054,0.47738,0.35412,0.18246,0.1057925,0.078985,0.0933525,0.11506,0.3705875,0.4885675,0.5674425,0.4560175,0.3552175,0.2841075,0.23546,0.227555,0.2027175,0.19974,0.2602125,0.304215,0.32078,0.2803225,0.2285125,0.148015,0.1373575,0.1695125,0.15749,0.1579675,0.144415,0.200725,0.2700175,0.3490475,0.3706025,0.3774275,0.362495,0.3097175,0.372385,0.3328,0.3347225,0.272095,0.4401725,0.59189,1.1261825,NA,NA,NA,NA,1.084175,1.280755,1.0287975,0.7605125,0.4155375,0.2646425,0.294785,0.2610275,0.1993,0.099665,0.07142,0.068035,0.092155,0.124825,0.128835,0.10393,0.1254175,0.1512975,0.15208,0.11098,0.0739475,0.0662725,0.2489375,0.3527775,0.3862225,0.1602025,0.2171925
"002402.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51902,0.3734425,0.2736875,0.1384075,0.10059,0.0899,0.153,0.1484525,0.164945,0.125365,0.10931,0.1339225,0.0977175,0.15058,0.138925,0.1706525,0.1858375,0.1723725,0.18655,0.19207,0.2888425,0.2609475,0.2201875,0.1300525,0.1261875,0.0687975,0.11021,0.1630525,0.191885,0.124355,0.1116725,0.093815,0.1184225,0.127225,0.10683,0.097825,0.1007025,NA,0.26119,0.326705,0.292035,0.2306475,0.1700325,0.23744,0.2564175,0.3880475,0.3720575,0.323985,0.24543,0.20144,0.204115,0.164765,0.1598575,0.1390625,0.1872225,0.24186,0.2621425,0.223205,0.273195,0.433585,0.69984,0.9365425,1.1526675,1.1502525,1.2177675,1.0269175,0.7719775,0.4281925,0.6232525,0.60606,0.6131875,0.356315,0.24649,0.3675375,0.435615,0.4755975,0.3302325,0.2214025,0.10212,0.0935075,0.0625725,0.07054,0.0826075,0.09871,0.0835125,0.05935,0.0787525,0.099285,0.1061425,0.082255,0.1007175,0.14509,0.136065,NA
"002403.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37321,0.2421125,0.1834925,0.1106225,0.0828725,0.07695,0.079375,0.0999675,0.1023425,0.0824475,0.07196,0.0576,0.0602275,0.04752,0.0682875,0.1199125,0.154225,0.1485025,0.1026175,0.081195,0.1102225,0.141575,0.154205,0.2308775,0.1993525,0.1886975,0.1304875,0.136395,0.133915,0.0928175,0.0875425,0.07015,0.0459775,0.0494,0.0708275,0.1005475,0.09175,0.11893,0.0963925,0.15954,0.1746625,NA,0.25776,0.2384875,0.1043875,0.1152175,0.0949475,0.097355,0.07513,0.0524525,0.0623175,0.1105,0.1221425,0.1151625,0.0760525,0.1182975,0.103685,NA,0.205835,0.268185,0.4372375,0.640765,1.0110325,1.1716375,1.084795,0.702305,0.4465475,0.2380125,0.4001025,0.408245,0.46271,0.3483975,0.336935,0.2401225,0.175865,0.1307475,0.0837125,0.0491325,0.0506325,0.0564875,0.0699875,0.05546,0.048345,0.030825,0.0319075,0.03621,0.0450675,0.044445,0.0301125,0.0243375,0.0330375,0.0431275,0.0381775,0.0563425
"002404.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40774,0.2391075,0.1598925,0.095255,0.0750475,0.12748,0.1628225,0.180085,0.13922,0.09671,0.0667725,0.08842,0.09557,0.1032975,0.0909525,0.1031975,0.10939,0.0911275,0.1383625,0.3043325,0.3784175,0.389945,0.21649,0.313435,0.28867,0.2896825,0.15938,0.14146,0.150415,0.1554775,0.17267,0.19583,0.1673425,0.14385,0.1251825,0.102305,0.0880425,0.0987,0.096355,0.1490675,0.15513,0.1800375,0.1334575,0.1032325,0.0714375,0.0775175,0.083525,0.1225975,0.1546875,0.13927,0.1141325,0.07789,0.0748275,0.1827325,0.2357675,0.42646,0.35763,0.4045875,0.326415,0.382715,0.41948,NA,0.58037,0.8069075,0.845325,0.8191825,0.6219925,0.35876,0.5067625,0.440795,0.408795,0.251965,0.176285,0.224645,0.1695425,0.1352,0.0800275,0.0789575,0.107895,0.1199625,0.14972,0.0863775,0.0633825,0.0944075,0.144855,0.1573475,0.1229925,0.05727,0.0555025,0.044135,0.053725,0.0486475,0.0644675,0.07699
"002405.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8325375,0.53727,0.33903,0.1981325,0.1570025,0.2210875,0.3565625,0.38223,0.3280825,0.210785,0.1417125,0.1006575,0.118055,0.1160275,0.12269,0.1354875,0.140365,0.177245,0.179545,0.225575,0.2530925,0.2566475,0.2216225,0.1682175,0.11359,0.182145,0.201915,0.2312375,0.18121,0.2098175,0.1747475,0.2099425,0.256635,0.264765,0.2738,0.22015,0.3225075,0.40259,0.4589675,0.4593725,0.3690775,0.269865,0.2495775,0.18509,0.1929925,NA,NA,NA,0.257935,0.27522,0.2319975,0.17514,0.19137,0.2108525,0.18165,0.260375,0.269345,0.3283375,0.353735,0.4097425,NA,0.7547025,1.171525,1.5078525,1.2929,1.1254225,0.8312925,0.4905825,0.6365525,0.6495675,NA,NA,0.723235,0.6130825,0.39145,0.18825,0.106465,0.1041225,0.074815,0.083785,0.0957775,0.0850925,0.076465,0.06458,0.0867525,0.096145,0.12407,0.24809,0.32234,0.33645,0.360105,0.3138575,0.3020625,0.2920975
"002406.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56018,0.26329,0.19193,0.1202675,0.11446,0.1017125,0.15319,0.144805,0.14453,0.09754,0.0879225,0.083775,0.0848625,0.0931975,0.11405,0.113235,0.131055,0.1181425,0.1566225,0.155455,0.246365,0.2304725,0.2149175,0.116,0.113125,0.0850625,0.0938675,0.11106,0.10702,0.085885,0.06063,0.0567875,0.06676,0.080545,0.0803,0.078735,0.063145,0.0700375,0.0776775,0.10083,0.13482,0.181705,0.1676575,0.144355,0.11461,0.134855,0.1245,0.11686,0.0914475,0.0571225,0.06521,NA,0.132775,0.13706,0.14445,0.1367225,0.133045,0.122525,0.062255,0.2384925,0.43976,NA,1.0587175,1.177475,1.089855,0.748625,0.5104975,0.3815525,0.559555,0.6524025,0.572185,0.32024,0.158695,0.14962,0.1349625,0.12805,0.1225425,0.117735,0.0834575,0.0510625,0.0941375,0.166265,0.1781925,0.1922775,0.1409375,0.13284,0.088445,0.0754475,0.071875,0.0587975,0.04426,0.046115,0.0406125,0.0696275
"002407.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7453925,0.5584425,0.3887725,0.18876,0.194515,0.23801,0.3338325,0.276065,0.2900725,NA,0.3453275,0.3433325,0.290785,0.258265,0.21212,0.2051525,0.206365,0.2319725,0.21775,0.250945,0.352135,0.3440375,0.4023375,0.294735,0.28032,0.1478025,0.12753,0.167155,0.1794825,0.15444,0.135665,0.155965,0.1867775,0.20171,0.1839675,0.17047,0.2223275,0.26418,0.2955825,0.225845,0.111755,0.084295,0.13194,0.174445,0.19737,0.2276275,NA,NA,NA,0.3058125,0.38483,0.31204,0.34935,0.25374,0.2006675,0.202855,0.2172375,0.228505,0.226115,0.32438,0.4389525,0.68401,1.0345975,1.2996975,1.501415,1.1577125,0.8549675,0.67018,0.8165275,0.90635,0.85798,0.64783,0.48153,0.43586,0.2559925,0.15527,0.093425,0.1001575,0.096325,0.100115,0.1081875,0.1236775,0.11672,0.1981575,0.2156725,0.279445,0.2401925,0.2279,0.25391,0.1825775,0.2254175,0.167455,0.15377,0.1519825
"002408.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564325,0.2603525,0.1730625,0.1072675,0.141885,0.206775,0.2715325,0.2604825,0.2723425,0.242385,0.2542175,0.3057825,0.4126925,0.3636975,0.22407,0.17272,0.1648125,0.19073,0.18118,0.218045,0.213715,0.20926,0.2230625,0.16715,0.160615,0.1079725,0.134355,0.15526,0.2033175,0.1831325,0.1671775,0.129635,0.1315375,0.14539,0.1369225,0.1356475,0.10708,0.1313425,0.1627225,0.219245,0.1664625,0.15163,0.0985875,0.14504,0.1303175,0.15409,0.10769,0.1110675,0.072605,0.0564975,0.0820575,0.0769875,0.085835,0.1204525,0.1429375,0.175205,NA,NA,0.2417025,0.3012325,0.3892225,0.6123,0.80788,0.9542775,0.78909,0.60137,0.39185,0.2229025,0.3249325,0.36726,0.46924,0.3052175,0.2347825,0.1668825,0.149615,0.10924,0.05658,NA,0.2970625,0.4408875,0.561145,0.36638,0.1953575,0.05599,0.039225,0.043935,0.044955,0.08427,0.07228,0.0761475,0.0684025,0.1461525,0.148565,0.16202
"002409.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1905825,0.24013,0.20125,0.15791,0.12398,0.123945,0.21062,0.2209675,0.2771425,0.1811625,0.204765,0.160705,0.1800725,0.117295,0.08121,0.071345,0.0944625,0.1180675,0.127205,0.12709,0.14426,0.13062,0.1577975,0.163365,0.1688425,0.18082,0.163215,0.15038,0.13304,0.087475,0.0896,0.082755,0.1480925,0.14179,0.154825,0.1106775,0.1583175,0.18653,0.1332625,0.121535,0.091275,0.104835,0.09184,0.1088725,0.08401,0.154995,0.16013,0.16392,0.1010125,0.0627625,0.05689,0.0653375,0.07077,0.07899,0.08614,0.1612925,0.17691,0.14585,0.0850725,0.13013,0.183245,0.4300575,NA,NA,NA,NA,NA,NA,NA,0.588015,0.636635,0.531755,0.274205,0.3345125,0.37342,0.3185475,0.2244075,0.2108175,0.1488175,0.1087575,0.1137925,0.1073675,0.0935975,NA,NA,NA,NA,NA,NA,NA,0.5086925,0.6105175,0.6451,0.44608
"002410.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029555,NA,0.1837925,0.182155,0.1884775,0.2329925,0.1972425,0.1505025,0.13559,0.1255575,0.1240475,0.1418375,0.1469225,0.13784,0.10024,0.09669,0.1042,0.1095475,0.1171975,0.1326625,0.1872025,0.18003,0.16592,0.087175,0.082725,0.0715075,0.1804275,0.175635,0.1240375,0.0759925,0.121325,0.1657875,0.23314,0.2298225,0.28009,0.32988,0.297635,0.2856925,0.3010725,0.25517,0.2270975,0.23676,0.245245,0.24905,0.274855,0.3908675,0.480115,0.383,0.258195,0.185465,0.21362,0.19189,0.1171925,0.0943225,0.1061525,0.22561,0.322075,0.34116,0.31478,0.3768975,0.479235,0.6351025,NA,NA,0.9028125,0.89652,0.7114025,0.3528275,0.4657225,0.4357275,0.49759,0.3068625,0.175655,0.18571,0.18917,0.1929175,0.1471425,0.0842175,0.049315,0.042555,0.0499575,0.0601325,0.0500975,0.074765,0.1100975,0.1377425,0.1120475,0.0686125,0.0951975,0.112,0.1432875,0.1168125,0.1160225,0.1374375
